id,category
291,Other Apple product or service
292,Other Apple product or service
296,Apple
298,Android
300,iPhone
301,Other Google product or service
302,Other Apple product or service
303,iPad
304,Other Apple product or service
305,iPad
307,iPhone
308,iPad
309,Apple
311,iPad
314,Android
316,iPad
317,Other Google product or service
318,Apple
319,Other Apple product or service
328,Other Apple product or service
329,None
330,Other Google product or service
334,Other Google product or service
335,Apple
336,Other Google product or service
338,Apple
340,Other Google product or service
342,Other Apple product or service
345,Other Google product or service
348,Other Google product or service
350,Apple
351,iPhone
352,Other Google product or service
353,Other Google product or service
356,Other Google product or service
358,iPhone or iPad App
361,iPad
362,iPhone
363,Other Platform
364,Android
365,iPad
370,iPhone
371,Other Google product or service
372,Other Google product or service
376,Other Google product or service
377,Android
378,Other
379,Other Google product or service
380,Other Google product or service
381,Other Google product or service
382,Other Google product or service
383,Other Google product or service
384,Other Google product or service
385,Other Google product or service
386,iPhone
387,Other Google product or service
388,Other Google product or service
389,iPad
393,iPad
394,Other Apple product or service
395,iPad
396,None
397,iPad
398,Other Apple product or service
399,Other Google product or service
400,iPhone
401,iPad
402,Other Google product or service
405,Other Google product or service
406,Other Apple product or service
407,Other Google product or service
408,iPad
409,Other Apple product or service
410,iPad
414,iPad
415,Android
416,iPad
417,iPad
418,iPad
419,iPad
420,None
421,None
422,iPad
425,Other Google product or service
427,iPad
428,Other Apple product or service
429,None
430,iPhone
431,iPad
432,None
433,Other Apple product or service
434,Other App Store Product
435,Other
436,iPhone
438,Android App
439,Other App
440,Other Apple product or service
441,Other Apple product or service
445,Other Apple product or service
464,None
465,iPad
468,Other Google product or service
472,Other Google product or service
475,Other Apple product or service
476,Other Apple product or service
478,iPad
479,Other Apple product or service
480,Apple
481,Other Apple Product or Service
482,iPhone
485,None
487,iPad
488,Other Apple product or service
489,Other Google product or service
491,iPad
493,iPad
495,Other Apple product or service
496,None
497,Apple
498,Other Google product or service
499,iPhone
500,Other Apple product or service
501,iPad
502,Other
503,iPhone
507,None
508,Other Google product or service
509,iPad
510,iPhone
511,Other product or service
512,iPhone
514,Other Apple product or service
515,Other Google product or service
517,iPhone
520,Other Google product or service
521,Other
522,iPad
525,Other Apple product or service
526,Other Apple product or service
528,None
529,Apple
531,Other Google product or service
532,None
533,Other Apple product or service
534,Other Google product or service
538,Other Google product or service
539,Other Google product or service
540,Other Google product or service
541,Other Google product or service
543,Other Google product or service
544,Other Google product or service
545,Other Google product or service
546,Other Google product or service
547,Other Google product or service
549,Other Google product or service
551,Other Google product or service
552,Other Google product or service
553,Other Google product or service
554,Other Google product or service
555,Other Google product or service
556,Other Google product or service
558,Other Google product or service
559,Other Google product or service
560,Other Google product or service
561,Other Google product or service
564,Other Google product or service
565,Other Google product or service
567,Other Google product or service
568,Other Google product or service
569,Google
572,Other brand
573,Other Apple product or service
575,iPad
576,iPad
578,iPad
579,iPad
580,Other Google product or service
581,None
583,iPhone
584,Other Google product or service
585,Other Apple product or service
588,Other Google product or service
589,Other Apple product or service
590,Other Apple product or service
592,iPhone or Android
594,Other Google product or service
595,iPhone
597,iPhone
598,Other Apple product or service
599,iPhone
600,iPad
601,Other Apple product or service
602,Other
610,Other Apple product or service
611,iPad
612,iPad
614,Other Google product or service
616,None
617,Other Google product or service
619,Android
620,iPhone
621,iPad
624,Apple
625,iPhone
626,iPad
627,Other Google product or service
628,Other Google product or service
632,iPad
635,Other Google product or service
636,Other
637,iPhone
638,Other Apple product or service
639,None
642,Other Google product or service
643,None
644,Apple
648,iPad
657,iPad
658,iPad
660,iPad
670,iPhone
673,iPad
674,Other Google product or service
676,Other brand
679,Other Apple product or service
680,Other Google product or service
681,Other Apple product or service
682,Other Apple product or service
688,Other Apple product or service
690,Other Apple product or service
691,Other Apple product or service
692,iPad
694,Apple
696,None
697,iPhone
698,iPhone
699,Other Google product or service
700,iPhone App
701,Other Apple product or service
704,iPad
705,Other Apple product or service
707,Other Google product or service
709,Other Apple product or service
710,Other Google product or service
711,Other Google product or service
713,Other Google product or service
714,Other Google product or service
715,Other Google product or service
717,Other Google product or service
719,Other Google product or service
720,Other Google product or service
721,Other Google product or service
723,Other Google product or service
724,Other Google product or service
725,Other Google product or service
726,Other Google product or service
727,Other Google product or service
728,Other Google product or service
731,Other Google product or service
732,Other Google product or service
733,Other Google product or service
734,Other Google product or service
735,Other Google product or service
737,Other Google product or service
738,Other Google product or service
739,Other Google product or service
741,Other Google product or service
742,Other Google product or service
743,Other Google product or service
744,Other Google product or service
746,Other Google product or service
747,Other Google product or service
748,Other Google product or service
749,Other Google product or service
750,Other Google product or service
751,Other Google product or service
752,Other Google product or service
754,Other Google product or service
755,Other Google product or service
756,Other Google product or service
757,Other Google product or service
758,Other Google product or service
759,Other Google product or service
760,Other Google product or service
761,Other Google product or service
763,Other Google product or service
764,Other Google product or service
765,Other Google product or service
766,Other Google product or service
771,Other Google product or service
773,Other Google product or service
774,Other Google product or service
776,Other Google product or service
778,Other Google product or service
779,Other Google product or service
780,Other Google product or service
781,Other Google product or service
782,Other Google product or service
783,Other Google product or service
784,Other Google product or service
785,Other Google product or service
786,Other Google product or service
787,Google
788,Other Apple product or service
789,Other Google product or service
790,Other Google product or service
792,iPad
794,iPad
796,Apple
797,iPad
799,Other Apple product or service
800,Other
801,Other Google product or service
803,Other Google product or service
804,iPad
805,iPad
806,Other Google product or service
807,Other Google product or service
808,Android
810,None
811,iPhone
812,iPhone
813,Other Google product or service
819,None
820,iPhone
822,iPad
823,iPad
828,iPad
829,iPad
830,iPad
832,None
833,None
834,Other Apple product or service
839,None
840,Other Mobile Platform
841,iPhone
842,Android
843,Other Mobile Platform
844,iPhone
845,Android
846,Android
847,Other Google product or service
848,Other Google product or service
849,Other Google product or service
852,Other
853,Other Apple product or service
858,iPhone
859,iPhone
860,iPhone
863,iPad
864,iPad
865,iPhone
866,Android App
868,iPhone
871,None
872,Other Apple product or service
876,Other Google product or service
877,Other Google product or service
878,Other Apple product or service
880,Other Apple product or service
881,Other Google product or service
882,Other Apple product or service
886,Other Google product or service
887,Android
888,None
891,Other Google product or service
894,Other Google product or service
895,Other Google product or service
897,iPad
899,Other Google product or service
901,iPhone
902,Other Google product or service
903,Other Apple product or service
904,None
906,iPhone
908,iPhone
910,Other Google product or service
911,Apple
914,iPad
915,iPad
916,Other Google product or service
918,Other Apple product or service
920,Other Apple product or service
921,Other Apple product or service
922,Other Apple product or service
923,Other Apple product or service
924,Other Apple product or service
925,Other Apple product or service
926,Other Apple product or service
927,Other Apple product or service
929,Other Apple product or service
930,Other Google product or service
931,iPad
933,iPhone App
937,Other Google product or service
939,Other Google product or service
940,iPhone
941,Other Apple product or service
942,Other Google product or service
945,iPad
946,None
947,Other Brand Product or Service
948,Other Google product or service
949,Instagram
950,Other Google product or service
952,Android App
953,Other non-Apple electronics
955,Other Google product or service
957,Other Google product or service
958,Other Google product or service
960,Other Apple product or service
964,Other
966,Other Google product or service
968,None
969,iPad
971,Other Google product or service
972,Other Google product or service
973,Other Google product or service
975,None
976,Other Apple product or service
977,Other Google product or service
978,Other Google product or service
979,iPad
980,Other Google product or service
981,Other Apple product or service
982,Other Google product or service
983,Other Google product or service
984,None
986,None
990,Other Google product or service
991,Other Google product or service
992,Other Google product or service
993,Other Google product or service
994,Other Apple product or service
995,Google
996,Other Google product or service
1000,Other Google product or service
1004,Other Apple product or service
1005,Other Google product or service
1006,iPad
1007,Other Google product or service
1008,Other Apple product or service
1010,Other Apple product or service
1012,Other Apple product or service
1013,Other Apple product or service
1014,Other Google product or service
1015,Android
1017,Other Google product or service
1019,Android
1021,Other Google product or service
1022,iPad
1023,iPad
1024,None
1026,iPad
1028,Other Google product or service
1029,Other Apple product or service
1030,iPhone
1034,Other Apple product or service
1038,Other Google product or service
1042,iPad
1044,iPad App
1045,Apple
1046,Other Apple product or service
1047,iPhone
1049,iPhone
1050,Other Apple product or service
1055,Other Apple product or service
1056,Apple
1057,iPhone
1059,Other Apple product or service
1061,Android App
1062,Other Apple product or service
1063,Android
1064,Other Apple product or service
1066,iPad
1067,iPad
1069,Other Google product or service
1070,Other Apple product or service
1071,iPhone
1072,Other
1073,Other
1074,Other Google product or service
1075,Other
1076,Other
1077,Other Apple product or service
1078,iPhone
1079,iPad
1081,None
1082,iPhone
1084,Other Apple product or service
1085,Other Google product or service
1087,Android App
1088,Other Google product or service
1089,Other Google product or service
1090,Android
1091,Android
1093,Other Apple product or service
1095,iPad
1097,None
1098,iPad
1099,iPad
1100,iPad
1101,iPad
1103,Other
1104,iPhone
1107,Android App
1111,iPhone
1112,BlackBerry
1113,Other Google product or service
1115,Other Google product or service
1122,iPad
1123,iPad
1124,Apple
1132,iPad
1133,iPad
1135,iPhone
1136,Other Google product or service
1138,Other Google product or service
1139,Other Apple product or service
1140,iPad
1142,iPad
1143,None
1145,iPhone
1146,Other Apple product or service
1147,iPad
1148,iPad
1151,Other Apple product or service
1152,Other Apple product or service
1153,iPad
1155,Other Google product or service
1156,Other Google product or service
1157,iPad
1158,Other Google product or service
1159,iPhone
1160,Other Google product or service
1163,Other Google product or service
1164,Other Google product or service
1165,iPhone
1166,Other Google product or service
1167,Other Google product or service
1168,Other Google product or service
1169,Other Apple product or service
1170,Other Apple product or service
1171,Other Apple product or service
1172,Other Apple product or service
1173,Other Apple product or service
1174,Other Apple product or service
1175,Other Apple product or service
1176,iPad
1178,iPad
1180,Apple
1181,Other Apple product or service
1183,Other Apple product or service
1184,Other Apple product or service
1185,iPad
1186,Other Apple product or service
1187,Other
1190,iPhone
1193,iPad
1194,Other Apple product or service
1195,iPhone
1196,None
1197,Other Apple product or service
1198,iPad App
1199,iPad
1200,Other
1203,Other Apple product or service
1205,Other Google product or service
1206,Other Google product or service
1207,iPad
1209,Other Google product or service
1210,Other Apple product or service
1212,Other Apple product or service
1215,iPad
1218,Other Google product or service
1222,Apple
1223,iPad
1225,Other Google product or service
1226,iPhone
1228,Other Google product or service
1230,None
1231,iPad
1233,Other Apple product or service
1234,iPhone
1235,Other
1237,iPhone
1238,iPhone
1239,None
1240,None
1243,Other Google product or service
1244,Other Apple product or service
1245,Other Google product or service
1246,iPad App
1248,Other Apple product or service
1250,Other Apple product or service
1251,Other Apple product or service
1253,Other Apple product or service
1254,Other Apple product or service
1255,iPhone
1256,Other Google product or service
1257,Other Apple product or service
1258,iPhone
1264,Android
1265,Other Google product or service
1266,iPad
1267,iPad
1269,Other Apple product or service
1271,Other Google product or service
1272,None
1274,iPad
1275,iPhone
1276,Other Apple product or service
1277,iPad
1279,Other Google product or service
1280,iPad
1282,Other Google product or service
1283,None
1284,Other Apple product or service
1285,iPad
1288,iPhone
1289,Other Google product or service
1293,Other Apple product or service
1294,iPad
1295,Apple
1296,None
1297,iPad
1298,Other Apple product or service
1300,Other Google product or service
1302,Other Apple product or service
1304,iPad
1305,Other Apple product or service
1306,iPad
1307,Apple
1308,Other Google product or service
1309,Other Apple product or service
1310,Other Apple product or service
1311,Android
1312,Other
1314,iPhone
1315,Apple
1317,iPhone
1318,Other
1320,iPad
1321,Other Google product or service
1322,iPad
1323,None
1324,iPad
1325,iPhone
1328,iPhone
1330,iPhone App
1331,iPad
1333,iPhone
1335,iPhone
1336,iPhone App
1338,iPad
1339,Other Google product or service
1341,iPhone
1342,Other Google product or service
1344,Android
1345,Other
1346,Other
1347,Other Google product or service
1348,iPhone
1349,None
1350,Other product or service
1351,Other Apple product or service
1352,iPad
1354,iPad
1355,iPad
1356,Other Apple product or service
1357,Other Google product or service
1358,Other Google product or service
1359,Other
1360,Other Google product or service
1361,iPhone App
1364,Other Apple product or service
1366,iPhone
1367,Other Apple product or service
1368,iPad
1369,None
1372,Other Apple product or service
1373,iPhone
1374,iPad
1377,Other Apple product or service
1378,Other Apple product or service
1380,None
1385,Other Apple product or service
1386,Other Apple product or service
1387,iPhone
1388,None
1389,iPad
1390,iPhone App
1391,None
1392,None
1393,Other Apple product or service
1397,iPad
1399,iPhone
1400,Other Google product or service
1401,iPad
1404,iPhone
1405,Other Apple product or service
1406,iPad
1411,iPhone
1412,Other Apple product or service
1413,iPad
1415,Other Google product or service
1418,iPhone
1419,Other Apple product or service
1420,Other Google product or service
1421,iPhone
1422,iPad
1423,iPhone
1424,iPad
1427,iPhone
1428,Other Google product or service
1430,Other Apple product or service
1431,iPhone
1433,iPad
1434,iPad
1435,Other Google product or service
1437,iPad
1438,Other Google product or service
1441,Other Apple product or service
1442,iPhone App
1443,iPad
1444,Other Google product or service
1446,iPad
1447,iPhone
1449,iPhone
1453,Other Google product or service
1457,iPad
1459,Nokia
1460,Other Google product or service
1463,Other Google product or service
1464,Other Apple product or service
1465,Other Google product or service
1466,Other Google product or service
1467,Apple
1468,Other Apple product or service
1469,Other Google product or service
1470,Other Apple product or service
1471,Other Apple product or service
1472,iPad App
1473,iPad App
1474,Other Google product or service
1475,Other Google product or service
1477,iPad
1478,Other Google product or service
1479,iPad
1480,Other Apple product or service
1482,Other Apple product or service
1483,Other Apple product or service
1484,iPad
1485,Android App
1486,Other Google product or service
1489,iPhone
1490,Other Apple product or service
1492,Other Google product or service
1493,iPad
1494,iPhone
1495,Other Google product or service
1496,Other Google product or service
1498,Other Google product or service
1499,Other Google product or service
1500,Android
1501,None
1504,Android
1505,Android App
1506,iPad
1511,Other Google product or service
1513,Other Apple product or service
1514,Other Google product or service
1515,iPad
1516,iPad
1518,Other Google product or service
1519,iPad
1520,Other Google product or service
1521,iPad
1522,None
1523,Apple
1526,iPhone App
1527,Other Apple product or service
1528,iPhone
1529,iPhone
1532,Other Google product or service
1533,Other Apple product or service
1534,Android
1535,iPhone
1536,Other Apple product or service
1537,Apple
1538,iPhone
1539,Android App
1542,Google
1545,Other Google product or service
1546,Other Apple product or service
1548,Android App
1549,Other Google product or service
1550,Other Apple product or service
1551,Android App
1552,Other Company or Brand
1553,Apple or Android
1557,Other Google product or service
1558,Other
1565,iPhone
1566,Other
1567,Other
1568,iPhone
1569,Other Google product or service
1570,Other Apple product or service
1571,iPad
1572,iPad
1573,Other
1574,iPhone App
1575,iPhone
1576,iPad
1578,iPad
1581,Other Google product or service
1583,iPad
1584,Android
1585,Other Google product or service
1589,iPad
1590,BlackBerry
1593,Other Google product or service
1594,None
1596,iPad App
1597,iPad
1598,iPad
1599,iPad
1600,Android
1603,Other Apple product or service
1604,Android App
1605,Other Google product or service
1609,Other Google product or service
1611,iPad
1612,Other Apple product or service
1613,Other Google product or service
1614,Other Google product or service
1617,iPhone
1618,iPhone
1619,Android App
1625,iPhone
1627,iPad
1629,iPhone
1632,iPad
1634,iPad
1637,Other Apple product or service
1638,Other Google product or service
1640,Other Google product or service
1642,iPhone
1644,Other Apple product or service
1645,Other Apple product or service
1649,Other Google product or service
1650,Other Apple product or service
1652,Other Google product or service
1653,Other Google product or service
1654,Other Apple product or service
1655,iPad
1656,iPhone App
1659,Other Apple product or service
1660,iPhone
1661,Other Google product or service
1662,None
1666,iPhone
1667,iPad
1669,iPad
1670,Other Google product or service
1672,iPad
1675,Android
1676,Other Google product or service
1677,iPad
1681,Other Google product or service
1683,Other Google product or service
1684,iPad
1685,iPad
1687,Other Apple product or service
1691,iPad
1692,iPad
1701,Other brand or product
1702,Other
1703,Other Apple product or service
1704,Other
1705,iPhone App
1706,Other Apple product or service
1708,Other
1709,Other Google product or service
1710,iPad
1718,Android
1721,Other Apple product or service
1725,iPad
1726,Other Twitter product or service
1728,iPad
1729,iPad
1731,iPad
1732,None
1733,None
1739,iPad
1740,Other Apple product or service
1741,iPad
1742,iPad
1743,Other Apple product or service
1745,iPad
1746,iPad
1747,Other Google product or service
1749,Other Apple product or service
1753,Other Google product or service
1754,None
1755,Other Google product or service
1759,Other Apple product or service
1760,iPad
1764,iPad
1765,Other Google product or service
1766,Other
1767,iPad App
1769,Other Google product or service
1770,Other Google product or service
1772,iPad
1774,Other Apple product or service
1776,iPad
1777,iPad
1780,iPad
1782,iPad
1783,iPad
1785,Other Apple product or service
1789,iPad
1792,Other
1795,iPad
1796,iPad
1797,iPad
1800,Other Apple product or service
1801,iPhone
1804,Other Apple product or service
1805,Other Apple product or service
1806,iPad
1807,Android
1810,iPhone
1812,Android App
1813,iPhone
1814,Other Google product or service
1816,Other Google product or service
1817,iPad
1819,None
1821,iPad
1824,Apple
1825,Other Google product or service
1828,Other Apple product or service
1829,Other Google product or service
1831,iPhone
1832,Android
1833,Android
1835,iPad
1840,iPhone
1841,Other Google product or service
1842,Other Apple product or service
1844,iPad
1845,Google
1846,Other Apple product or service
1847,Other Google product or service
1848,iPad
1849,Android App
1850,Other Google product or service
1851,Other Apple product or service
1852,Other Google product or service
1853,Android App
1855,Android App
1858,Other Google product or service
1861,Other Google product or service
1862,Apple
1863,Other Google product or service
1865,iPhone
1866,Android App
1876,iPhone
1877,iPad
1878,None
1879,iPad
1881,Other Apple product or service
1882,iPhone
1883,iPad
1884,Other Google product or service
1885,iPad
1886,Other Apple product or service
1888,iPad
1889,iPad
1890,Android
1891,Android
1894,Android App
1895,iPad
1897,iPhone
1898,Apple
1900,iPhone App
1901,Other brand or product
1903,Other Apple product or service
1905,Other Google product or service
1908,iPhone
1909,Other
1911,Other Google product or service
1912,None
1916,Other Google product or service
1918,Other Apple product or service
1920,Other Google product or service
1921,Other Apple product or service
1926,Android App
1927,Android App
1929,Apple
1940,Other Apple product or service
1941,Other Apple product or service
1944,Other Apple product or service
1945,Other Apple product or service
1947,iPad
1948,Other Apple product or service
1951,iPad App
1952,iPad App
1953,iPad App
1954,iPad App
1955,iPad
1956,Android App
1957,iPad
1958,Other Apple product or service
1999,Other Google product or service
1961,Other Google product or service
1962,Other Google product or service
1964,Other Google product or service
1965,iPad
1966,iPad
1967,iPad
1968,Other Google product or service
1969,Other Apple product or service
1970,iPhone
1971,Android
1972,Apple
1973,Android
1977,iPhone
1979,Other Google product or service
1980,iPhone
1981,Other Google product or service
1982,Other Apple product or service
1985,Apple
1990,Android
1991,Android
1993,iPad
1994,Other Google product or service
1995,iPhone
1996,Other Apple product or service
1997,Google
1998,Other product or service
2000,Other Google product or service
2001,Other Google product or service
2004,Apple
2005,Other Apple product or service
2007,iPhone
2010,Other Google product or service
2017,Other Apple product or service
2018,Apple
2022,None
2023,Other Google product or service
2026,iPhone
2027,Other Google product or service
2030,Zaarly
2033,Apple
2034,Other Apple product or service
2036,iPad
2038,Android
2039,Other Google product or service
2041,iPhone
2046,Other
2049,iPad
2050,Other Google product or service
2052,Other Google product or service
2053,Other Apple product or service
2054,Other Google product or service
2055,iPad App
2057,Other Google product or service
2058,Other Google product or service
2059,Other Google product or service
2060,iPad
2062,iPad
2063,iPhone
2066,iPhone
2071,iPad
2073,iPhone
2079,iPhone
2085,Other Apple product or service
2086,Other Google product or service
2087,Other Google product or service
2089,Other Google product or service
2090,Other Google product or service
2091,Other Google product or service
2094,Other Google product or service
2095,Other Google product or service
2096,Other Google product or service
2098,Other Google product or service
2099,Other Google product or service
2101,Other Google product or service
2104,Other Google product or service
2105,Other Google product or service
2106,Other Google product or service
2107,Google
2108,Other Google product or service
2110,Other Google product or service
2111,Other Google product or service
2112,Other Google product or service
2113,Other Google product or service
2114,Other Google product or service
2115,Other Google product or service
2118,Other Google product or service
2125,iPad
2127,None
2128,Other Google product or service
2129,iPad
2130,Other Apple product or service
2132,iPhone
2133,Other Apple product or service
2134,Other Google product or service
2135,Other Google product or service
2136,Apple
2137,iPad
2138,Other Apple product or service
2139,Other Apple product or service
2143,Other Google product or service
2144,Apple
2145,Android App
2146,Android App
2147,iPad
2149,iPad
2152,iPhone
2153,Other Apple product or service
2154,Other Apple product or service
2155,Other Product or Service
2156,iPhone
2157,iPad
2159,Other Google product or service
2161,Other Google product or service
2162,iPad
2164,Other Google product or service
2165,Other Google product or service
2167,Other Apple product or service
2168,iPad
2169,iPad
2170,Android App
2171,Android
2173,Other Google product or service
2177,iPad
2178,Other Google product or service
2180,iPad
2181,Other Google product or service
2182,Other Google product or service
2183,None
2184,Other Apple product or service
2185,Other Google product or service
2187,None
2188,Other Apple product or service
2189,None
2190,Apple
2191,Other Apple product or service
2192,iPad
2194,Other Apple product or service
2196,Other Apple product or service
2197,iPhone
2198,None
2199,Other Google product or service
2200,Other Apple product or service
2201,Other Google product or service
2202,iPhone
2203,Other Google product or service
2204,Other Google product or service
2205,Other Google product or service
2206,None
2208,Other Apple product or service
2209,Other Apple product or service
2210,Other Google product or service
2213,Other Apple product or service
2214,Other Apple product or service
2215,Other Apple Product or Service
2219,Other
2220,Other Google product or service
2229,iPhone
2230,iPhone
2232,None
2233,iPad
2234,Other Google product or service
2235,Other Google product or service
2236,iPhone
2239,Other Apple product or service
2241,Other Google product or service
2242,Other Google product or service
2243,Other Google product or service
2244,Other Google product or service
2248,iPad
2249,Other Apple product or service
2251,Other Apple product or service
2253,iPad
2254,Other Google product or service
2255,Other Apple product or service
2256,iPad
2257,iPad
2258,Other Google product or service
2259,iPhone
2260,Other Google product or service
2264,Mac
2270,Other Apple product or service
2271,Other Google product or service
2272,iPad App
2278,iPhone
2279,iPad
2282,Android
2286,Other Apple product or service
2287,Other Apple product or service
2288,Other Apple product or service
2289,Other Apple product or service
2290,Android App
2291,Other Apple product or service
2293,Other Google product or service
2295,iPad
2296,iPad
2297,Other Google product or service
2299,Other Google product or service
2300,Other Apple product or service
2301,iPad
2306,Other Google product or service
2309,iPad
2312,Other Google product or service
2313,Other Google product or service
2314,iPad
2316,iPad
2319,iPhone
2323,iPad
2326,iPad
2327,iPad
2328,Apple
2332,Other Google product or service
2335,iPad
2337,iPad
2338,iPad
2339,Other Apple product or service
2340,iPhone
2343,Other Google product or service
2344,Other Google product or service
2345,Android
2348,Other Google product or service
2349,Other Google product or service
2350,iPad
2351,Other Google product or service
2356,iPad
2359,iPad
2360,iPad
2362,iPad
2363,Android
2364,iPad
2367,Other Apple product or service
2368,Other Google product or service
2370,iPad
2371,iPad
2372,iPad
2374,Other Google product or service
2375,None
2377,Other Google product or service
2378,Other Google product or service
2381,Other Google product or service
2382,iPad
2383,iPad
2384,iPad
2385,iPad
2388,Other Google product or service
2389,Android
2390,Other Apple product or service
2391,Other Apple product or service
2392,iPad
2393,iPad
2394,iPad
2395,iPad
2396,Other
2397,iPad
2398,Apple
2399,Other Facebook product or service
2401,None
2402,None
2403,None
2404,iPad
2405,iPad
2408,Other Google product or service
2409,iPad
2410,Other Google product or service
2411,iPhone
2412,iPad
2413,iPad
2415,Other
2416,Other Google product or service
2417,Android
2418,Other Apple product or service
2419,iPhone
2422,Android App
2424,Android
2425,Other
2426,Other Apple product or service
2427,Other Apple product or service
2428,Other Apple product or service
2429,iPad
2430,iPad
2431,iPad
2432,iPad
2434,Other Apple product or service
2437,iPhone
2441,iPad
2442,Other Google product or service
2443,iPad
2444,Other Google product or service
2449,Other Google product or service
2450,None
2451,Other Google product or service
2453,iPad
2456,iPad
2457,iPad
2459,iPad
2462,Android
2464,Android App
2465,iPhone App
2466,iPhone
2468,iPad
2471,iPhone
2472,iPad
2473,iPhone
2477,Other
2479,Other Apple product or service
2480,iPad
2481,iPhone
2483,Other Google product or service
2484,iPad or iPhone App
2486,None
2487,Other Google product or service
2488,Other Google product or service
2489,Other
2491,Other Google product or service
2492,None
2496,iPhone
2497,Other Google product or service
2498,iPhone
2502,Other Google product or service
2503,Other Google product or service
2504,iPhone
2505,iPhone
2507,Other Google product or service
2508,Other Google product or service
2509,Other Google product or service
2512,None
2515,Other products or services for multiple platforms
2517,iPad
2519,iPhone
2520,Other Apple product or service
2521,Apple
2523,iPad App
2524,iPad
2530,Other Google product or service
2533,iPhone App
2534,Other Google product or service
2535,Other Google product or service
2537,Other Apple product or service
2538,Apple
2540,iPhone
2542,iPad
2545,Other
2546,Other Google product or service
2547,None
2548,None
2550,iPad
2551,iPhone
2552,Other Apple product or service
2554,iPad
2555,Other Apple product or service
2560,Other Google product or service
2564,Other
2565,Other Apple product or service
2566,Apple
2568,Other Apple product or service
2570,Other Apple product or service
2571,iPad
2574,Other Apple product or service
2578,Apple Other product or service
2579,Other Apple product or service
2582,None
2585,None
2588,Other Google product or service
2589,Other Google product or service
2590,Other Google product or service
2592,iPad
2596,Android
2597,iPhone
2599,iPhone
2600,Other Google product or service
2601,None
2604,iPad
2605,iPhone
2606,Other Google product or service
2608,iPad
2609,iPhone
2611,iPad
2612,iPad
2614,None
2617,Apple
2618,Apple
2619,Other Apple product or service
2620,Other Apple product or service
2622,Other Google product or service
2624,Other Google product or service
2627,iPad
2628,iPad
2629,iPad
2630,iPad
2632,Other Apple product or service
2633,Other Google product or service
2636,iPad
2637,iPhone
2639,iPad
2642,Other product or service
2645,Other Apple product or service
2649,Other
2651,Other Apple product or service
2654,Other Google product or service
2656,iPad
2659,Other
2660,iPhone
2661,iPad
2662,Other Google product or service
2666,Other Google product or service
2668,None
2672,Other App or Service
2676,Other Apple product or service
2677,iPhone
2679,iPad
2680,iPhone
2682,Other Apple product or service
2683,iPad
2684,iPad
2685,Other Apple product or service
2686,Other Apple product or service
2687,Apple
2689,Other Google product or service
2690,iPhone
2692,Other
2694,Other Apple product or service
2696,iPad
2698,Other Apple product or service
2699,Other Google product or service
2700,iPhone
2701,Other Google product or service
2704,iPad
2708,iPhone
2709,Other Apple product or service
2710,None
2711,Other Apple product or service
2712,Other Apple product or service
2714,Other Google product or service
2716,Android App
2718,Other Google product or service
2721,Other Apple product or service
2723,Other Google product or service
2725,iPad
2726,iPad
